Date,Time,Open,High,Low,Close,Volume
20080809,0,1500,1500,1500,1500,2230300000
20080810,0,1545,1545,1545,1545,64168880
20080811,0,1591,1591,1553,1553,3380431
20080812,0,1599,1599,1556,1556,1062213
20080813,0,1602,1602,1563,1563,2628987
20080816,0,1609,1609,1570,1570,2899995
20080818,0,1617,1617,1580,1615,263752470
20080819,0,1617,1655,1568,1595,51973731
20080820,0,1580,1642,1552,1620,40288734
20080823,0,1650,1668,1638,1638,7321796
20080824,0,1687,1687,1640,1640,613157
20080825,0,1689,1689,1644,1644,1442471
20080826,0,1693,1693,1654,1654,3683134
20080827,0,1703,1703,1663,1663,3278275
20080830,0,1712,1712,1668,1668,1971974
20080831,0,1718,1718,1710,1717,203253899
20080901,0,1750,1768,1727,1765,48361658
20080902,0,1817,1817,1800,1800,12360001
20080903,0,1854,1854,1803,1803,1136028
20080906,0,1857,1857,1820,1820,5892044
20080907,0,1874,1874,1862,1873,76748133
20080908,0,1929,1929,1895,1895,7291960
20080909,0,1951,1951,1914,1914,6373521
20080910,0,1971,1971,1938,1938,7713930
20080913,0,1996,1996,1880,1932,185965414
20080914,0,1902,1929,1875,1879,32720059
20080915,0,1823,1935,1823,1857,47539350
20080916,0,1912,1912,1912,1912,18742380
20080917,0,1969,1969,1960,1960,15367972
20080920,0,2018,2018,1970,2017,102125504
20080921,0,2036,2077,2033,2073,34267746
20080923,0,2135,2135,2039,2122,99510688
20080924,0,2120,2130,2059,2076,40005063
20080927,0,2076,2098,2014,2022,41529375
20080928,0,2002,2082,1972,2057,51460333
20080929,0,2089,2105,2051,2074,13889162
20080930,0,2077,2081,2022,2060,13973256
20081004,0,2048,2058,1999,2000,20078860
20081005,0,1961,1970,1940,1940,120278024
20081006,0,1940,1960,1883,1901,38551124
20081007,0,1885,1899,1844,1856,22331423
20081008,0,1802,1820,1801,1801,45484913
20081011,0,1747,1747,1747,1747,20190628
20081012,0,1695,1732,1695,1696,106955747
20081013,0,1710,1746,1710,1712,6369397
20081014,0,1763,1763,1713,1713,319296
20081015,0,1764,1764,1714,1714,366817
20081018,0,1765,1765,1763,1764,57542179
20081019,0,1780,1816,1780,1808,33994298
20081020,0,1795,1845,1754,1771,22415354
20081021,0,1771,1824,1750,1808,17103096
20081022,0,1840,1862,1797,1845,14814869
20081026,0,1862,1889,1646,1690,12300201
20081027,0,1698,1740,1675,1706,7556562
20081028,0,1757,1757,1715,1746,16578776
20081029,0,1734,1790,1729,1754,8712682
20081101,0,1755,1775,1702,1708,23291904
20081102,0,1680,1710,1661,1693,14638871
20081103,0,1738,1743,1707,1707,5212141
20081104,0,1758,1758,1726,1726,7425371
20081105,0,1777,1777,1738,1738,4267262
20081108,0,1790,1790,1749,1785,18728454
20081109,0,1785,1786,1732,1734,18937125
20081110,0,1682,1760,1682,1686,48793351
20081111,0,1680,1708,1653,1683,7877957
20081112,0,1700,1733,1671,1718,27930247
20081115,0,1718,1730,1667,1673,19058280
20081117,0,808,1673,808,1673,9174731140
20090316,0,1400,1423,1331,1401,48433103
20090317,0,1410,1420,1380,1380,16769795
20090318,0,1375,1436,1354,1361,57300929
20090325,0,1400,1400,1362,1375,991152
20090328,0,1389,1399,1358,1360,2035908
20090329,0,1368,1369,1351,1351,7657372
20090330,0,1343,1359,1336,1338,2125073
20090331,0,1337,1349,1331,1335,4612821
20090404,0,1340,1382,1336,1355,3485858
20090405,0,1360,1402,1359,1402,7364425
20090406,0,1415,1415,1415,1415,451135
20090407,0,1416,1416,1416,1416,169810
20090408,0,1416,1416,1416,1416,283709
20090411,0,1417,1417,1417,1417,1311292
20090412,0,1420,1420,1420,1420,275686
20090413,0,1421,1421,1421,1421,945456
20090414,0,1423,1423,1392,1423,34947526
20090415,0,1450,1460,1433,1437,4129901
20090418,0,1460,1470,1440,1470,15145795
20090419,0,1505,1505,1505,1505,896393
20090420,0,1507,1507,1507,1507,310589
20090422,0,1508,1508,1508,1508,760356
20090425,0,1511,1511,1511,1511,175041
20090426,0,1511,1511,1511,1511,689626
20090427,0,1513,1513,1513,1513,213594
20090428,0,1514,1514,1514,1514,730185
20090429,0,1516,1516,1516,1516,309857
20090502,0,1517,1517,1517,1517,336987
20090503,0,1518,1518,1518,1518,88752
20090504,0,1563,1563,1563,1563,91029
20090505,0,1609,1609,1609,1609,12259
20090506,0,1657,1657,1657,1657,89560
20090509,0,1706,1706,1706,1706,142037
20090510,0,1757,1757,1757,1757,1051247
20090511,0,1760,1760,1713,1760,97958041
20090512,0,1797,1797,1708,1708,39810265
20090513,0,1678,1710,1678,1678,19765214
20090516,0,1642,1674,1629,1629,32322658
20090517,0,1629,1650,1584,1637,39211855
20090518,0,1638,1638,1616,1638,9957985
20090519,0,1657,1657,1569,1600,4964890
