Date,Time,Open,High,Low,Close,Volume
20010326,0,4699,4699,4699,4699,1492
20010327,0,4699,4699,4699,4699,25364
20010328,0,4699,4699,4699,4699,2984
20010331,0,4697,4697,4697,4697,2653
20010407,0,4694,4694,4694,4694,16198
20010408,0,4690,4690,4690,4690,168
20010409,0,4688,4688,4688,4688,1800
20010410,0,4688,4688,4686,4687,1232
20010414,0,4682,4682,4682,4682,82
20010415,0,4681,4681,4668,4668,28929
20010416,0,4658,4658,4657,4657,1342
20010417,0,4657,4657,4657,4657,1036
20010421,0,4645,4645,4630,4637,29437
20010422,0,4626,4626,4619,4619,1342
20010423,0,4619,4620,4607,4607,2781
20010430,0,4589,4589,4589,4589,2013
20010501,0,4580,4580,4580,4580,2684
20010502,0,4500,4500,4498,4498,1622
20010505,0,4498,4498,4498,4498,1577
20010507,0,4498,4498,4400,4400,15427
20010508,0,4390,4400,4390,4398,4637
20010515,0,4380,4383,4369,4370,11474
20010516,0,4370,4370,4370,4370,232
20010519,0,4368,4400,4368,4400,16153
20010520,0,4310,4310,4310,4310,1410
20010521,0,4311,4311,4311,4311,246
20010526,0,4351,4401,4351,4401,3753
20010527,0,4401,4420,4401,4420,4262
20010529,0,4472,4480,4472,4480,620
20010530,0,4495,4620,4495,4620,3542
20010602,0,4679,4851,4679,4851,1084
20010603,0,4853,4854,4851,4854,7038
20010606,0,4855,4870,4855,4861,3367
20010609,0,4863,4863,4863,4863,82
20010611,0,4884,4886,4884,4886,2164
20010612,0,4892,4901,4888,4901,9192
20010613,0,4901,4920,4901,4920,3747
20010616,0,4896,4999,4895,4999,6029
20010617,0,4999,5000,4999,5000,9113
20010618,0,4895,5000,4857,5000,7209
20010623,0,4948,4948,4900,4900,4079
20010625,0,4797,4800,4750,4750,25374
20010626,0,4750,4750,4700,4700,7402
20010627,0,4701,4701,4701,4701,2000
20010630,0,4689,4690,4688,4690,4296
20010701,0,4690,4690,4690,4690,2762
20010702,0,4680,4700,4680,4680,7000
20010703,0,4680,4680,4680,4680,10848
20010704,0,4675,4681,4675,4680,15298
20010707,0,4670,4670,4670,4670,4530
20010708,0,4682,4682,4680,4681,4873
20010709,0,4681,4681,4680,4680,5098
20010710,0,4680,4680,4680,4680,4789
20010711,0,4680,4680,4680,4680,6817
20010714,0,4680,4700,4680,4700,3816
20010715,0,4701,4701,4700,4701,8194
20010716,0,4700,4700,4700,4700,2500
20010820,0,3200,3236,3200,3236,1227
20010821,0,3237,3238,3237,3238,3410
20010822,0,3350,3353,3350,3353,984
20010825,0,3372,3383,3372,3383,572
20010826,0,3386,3388,3386,3388,1133
20010827,0,3400,3502,3399,3502,2850
20010828,0,3514,3538,3514,3538,574
20010829,0,3550,3710,3545,3560,8272
20010901,0,3571,3581,3570,3580,8316
20010902,0,3581,3583,3581,3583,656
20010903,0,3583,3586,3581,3581,11587
20010904,0,3579,3579,3579,3579,1000
20010905,0,3557,3557,3500,3500,5394
20010908,0,3500,3500,3490,3490,2200
20010909,0,3490,3490,3470,3470,5171
20010910,0,3470,3470,3450,3450,2596
20010911,0,3470,3470,3470,3470,1492
20010915,0,3466,3469,3466,3469,5919
20010916,0,3430,3430,3430,3430,4733
20010919,0,3408,3428,3408,3408,9798
20010922,0,3408,3408,3408,3408,1656
20010923,0,3409,3412,3408,3412,10052
20010924,0,3413,3413,3413,3413,246
20010926,0,3413,3421,3413,3421,4930
20010929,0,3421,3421,3413,3413,5307
20011002,0,3410,3420,3410,3420,10010
20011003,0,3413,3414,3413,3413,2086
20011006,0,3413,3413,3413,3413,1688
20011007,0,3410,3413,3410,3413,164
20011008,0,3413,3413,3413,3413,476
20011010,0,3400,3420,3350,3420,24293
20011013,0,3429,3430,3429,3430,13853
20011014,0,3429,3430,3428,3430,1356
20011016,0,3430,3430,3430,3430,738
20011017,0,3434,3436,3434,3436,882
20011020,0,3436,3436,3436,3436,3570
20011021,0,3438,3438,3438,3438,1896
20011022,0,3437,3438,3437,3438,7632
20011023,0,3438,3446,3438,3446,1610
20011024,0,3452,3455,3452,3455,2531
20011027,0,3455,3455,3440,3440,1738
20011028,0,3440,3440,3440,3440,1555
20011029,0,3441,3441,3440,3440,9833
20011030,0,3440,3440,3440,3440,1082
20011031,0,3440,3440,3440,3440,3649
20011103,0,3500,3500,3500,3500,2750
20011104,0,3500,3501,3500,3501,2081
20011105,0,3502,3502,3501,3501,246
20011106,0,3502,3523,3502,3523,2656
20011107,0,3562,3600,3562,3600,11033
20011113,0,3850,3950,3780,3950,28796
20011114,0,3950,4147,3950,4147,9207
20011117,0,4220,4250,4200,4205,45552
20011118,0,4204,4204,4130,4130,8400
20011120,0,4131,4301,4130,4245,71788
20011121,0,4250,4340,4247,4301,55936
20011124,0,4300,4400,4300,4400,18634
20011125,0,4402,4402,4400,4401,27375
20011126,0,4401,4401,4346,4350,11401
20011127,0,4380,4400,4300,4300,27379
20011128,0,4350,4350,4300,4300,8295
20011201,0,4302,4350,4302,4350,6000
20011202,0,4350,4350,4300,4302,10733
20011203,0,4398,4400,4302,4350,47878
20011204,0,4399,4400,4351,4400,44856
20011205,0,4420,4440,4374,4401,94359
20011208,0,4420,4480,4401,4480,38697
20011209,0,4480,4480,4479,4480,18052
20011210,0,4480,4480,4469,4480,12683
20011211,0,4480,4480,4480,4480,5000
20011212,0,4470,4480,4430,4434,24000
20011215,0,4460,4460,4440,4451,30008
20011217,0,4550,4550,4500,4550,12751
20011218,0,4554,4576,4554,4576,1820
20011219,0,4660,4660,4660,4660,1400
20011222,0,4680,4750,4680,4750,6365
20011223,0,4696,4750,4695,4750,11016
20011224,0,4750,4750,4750,4750,223
20011225,0,4740,4740,4677,4677,6101
20011226,0,4531,4600,4516,4600,33118
20011229,0,4600,4600,4517,4517,10377
20011230,0,4517,4517,4517,4517,5420
20011231,0,4518,4518,4518,4518,2000
20020101,0,4518,4518,4500,4500,9200
20020102,0,4402,4499,4400,4499,34855
20020105,0,4499,4501,4499,4501,5065
20020106,0,4500,4500,4497,4500,7935
20020107,0,4500,4501,4500,4500,5346
20020108,0,4500,4500,4500,4500,728
20020112,0,4501,4506,4500,4506,3312
20020113,0,4510,4510,4510,4510,602
20020114,0,4511,4550,4511,4550,2929
20020115,0,4620,4700,4555,4638,12002
20020116,0,4647,4659,4647,4659,753
20020119,0,4668,4723,4668,4723,1571
20020120,0,4763,4804,4762,4804,2955
20020121,0,4850,4860,4812,4860,4236
20020122,0,4862,4862,4860,4861,3198
20020123,0,4862,4862,4861,4861,2746
20020126,0,4865,4900,4865,4870,17734
20020127,0,4863,4865,4700,4700,9659
20020128,0,4650,4760,4646,4760,29817
20020129,0,4702,4702,4701,4701,3101
20020130,0,4708,4708,4708,4708,671
20020202,0,4700,4701,4700,4701,492
20020203,0,4700,4701,4700,4701,10120
20020204,0,4683,4700,4650,4700,15454
20020205,0,4700,4700,4690,4690,3246
20020206,0,4690,4690,4690,4690,2000
20020210,0,4689,4689,4689,4689,1320
20020212,0,4600,4650,4600,4650,5150
20020213,0,4610,4610,4550,4550,3297
20020217,0,4490,4500,4401,4401,9146
20020218,0,4401,4449,4398,4449,13411
20020219,0,4399,4400,4397,4400,15404
20020220,0,4494,4600,4406,4600,4752
20020224,0,4600,4600,4600,4600,5673
20020225,0,4599,4601,4550,4600,15757
20020226,0,4599,4600,4598,4600,14008
20020227,0,4602,4604,4602,4604,3423
20020302,0,4608,4611,4604,4610,26223
20020304,0,4610,4610,4610,4610,2333
20020305,0,4611,4611,4610,4610,8356
20020306,0,4611,4611,4610,4610,3679
20020309,0,4610,4611,4610,4610,32084
20020310,0,4611,4612,4611,4612,8487
20020311,0,4613,4615,4610,4615,7638
20020312,0,4625,4626,4616,4616,40924
20020313,0,4617,4617,4616,4616,5664
20020316,0,4620,4620,4550,4550,10029
20020317,0,4550,4550,4550,4550,600
20020319,0,4550,4550,4550,4550,135
20020406,0,4533,4620,4480,4620,38829
20020407,0,4600,4600,4600,4600,3000
20020408,0,4550,4550,4550,4550,3000
20020409,0,4547,4548,4545,4545,9105
20020413,0,4536,4536,4490,4490,3696
20020414,0,4489,4490,4489,4490,14850
20020415,0,4490,4600,4490,4563,21899
20020416,0,4570,4601,4560,4601,27052
20020417,0,4603,4603,4570,4600,22094
20020420,0,4600,4600,4600,4600,6204
20020421,0,4600,4600,4560,4560,12150
20020422,0,4560,4580,4560,4566,7910
20020423,0,4566,4569,4565,4568,10699
20020424,0,4568,4568,4531,4532,6661
20020427,0,4533,4544,4533,4543,5855
20020428,0,4545,4570,4544,4570,14174
20020429,0,4570,4600,4570,4600,5165
20020430,0,4611,4630,4611,4630,5938
20020501,0,4635,4700,4635,4700,2587
20020504,0,4710,4753,4710,4753,7270
20020505,0,4753,4753,4753,4753,6728
20020506,0,4753,4754,4753,4754,6182
20020507,0,4715,4754,4715,4740,16444
20020508,0,4740,4771,4739,4771,11271
20020512,0,4700,4701,4700,4701,2693
20020514,0,4700,4701,4700,4700,12055
20020515,0,4688,4700,4688,4700,11800
20020519,0,4685,4685,4600,4600,2482
20020520,0,4599,4599,4599,4599,539
20020521,0,4592,4592,4592,4592,364
20020522,0,4579,4600,4550,4600,26100
20020525,0,4599,4599,4599,4599,151
20020526,0,4590,4590,4590,4590,1013
20020527,0,4579,4579,4579,4579,1000
20020601,0,4558,4558,4480,4480,8689
20020602,0,4480,4480,4420,4420,7796
20020603,0,4400,4502,4400,4500,44806
20020608,0,4500,4500,4450,4500,17567
20020609,0,4500,4560,4500,4550,4212
20020610,0,4550,4560,4550,4560,9115
20020611,0,4559,4570,4559,4570,14505
20020612,0,4599,4602,4575,4601,8231
20020615,0,4699,4702,4699,4702,36556
20020616,0,4750,4754,4750,4754,10425
20020617,0,4800,4819,4800,4819,12361
20020618,0,4824,4829,4819,4828,13657
20020619,0,4828,4828,4828,4828,3909
20020622,0,4827,4828,4826,4827,15896
20020623,0,4831,4870,4827,4870,15722
20020624,0,4869,4869,4848,4850,5599
20020625,0,4775,4800,4760,4800,33561
20020626,0,4798,4800,4750,4800,24500
20020629,0,4770,4800,4770,4800,8311
20020630,0,4800,4800,4800,4800,4667
20020701,0,4800,4850,4797,4850,11849
20020702,0,4851,4851,4849,4850,16362
20020703,0,4849,4850,4849,4850,6873
20020706,0,4850,4900,4850,4850,17176
20020707,0,4849,4850,4849,4850,31026
20020708,0,4848,4850,4848,4850,24142
20020709,0,4850,4900,4849,4850,31059
20020710,0,4849,4850,4810,4850,19384
20020713,0,4850,4850,4800,4848,8654
20020714,0,4847,4848,4846,4848,14998
20020715,0,4844,4860,4805,4860,43235
20020803,0,4800,4800,4300,4300,10442
20020805,0,4295,4300,4295,4300,4018
20020806,0,4300,4300,4300,4300,9582
20020807,0,4300,4300,4300,4300,10162
20020810,0,4299,4300,4299,4300,5496
20020811,0,4301,4301,4300,4300,9805
20020813,0,4299,4300,4299,4300,19773
20020814,0,4300,4300,4300,4300,4000
20020817,0,4300,4300,4300,4300,1682
20020818,0,4270,4300,4270,4300,20179
20020819,0,4298,4301,4298,4300,5408
20020820,0,4300,4300,4299,4300,19261
20020821,0,4299,4300,4299,4300,9111
20020824,0,4300,4300,4300,4300,11160
20020825,0,4300,4300,4300,4300,3190
20020826,0,4300,4300,4299,4300,5085
20020827,0,4300,4302,4300,4302,3550
20020828,0,4305,4307,4305,4305,5942
20020831,0,4306,4310,4299,4300,50769
20020903,0,4268,4280,4268,4280,12500
20020908,0,4100,4100,4100,4100,1000
20020909,0,4100,4100,4099,4099,10267
20020910,0,4000,4000,4000,4000,582
20020911,0,3999,3999,3999,3999,1000
20020915,0,3900,3900,3900,3900,1918
20020918,0,3800,3880,3800,3879,24341
20020922,0,3879,3879,3879,3879,664
20020923,0,3875,3897,3874,3897,7411
20020924,0,3900,3900,3900,3900,442
20020925,0,3904,3913,3904,3913,6101
20020928,0,3915,3999,3915,3999,1789
20020929,0,4005,4006,4005,4005,1679
20020930,0,4030,4032,4024,4032,1593
20021001,0,4033,4043,4033,4043,1380
20021007,0,4080,4181,4080,4181,4281
20021008,0,4084,4181,4084,4181,3121
20021009,0,4105,4105,4075,4075,7720
20021013,0,4072,4190,4072,4190,26032
20021014,0,4190,4190,4190,4190,5855
20021015,0,4190,4191,4190,4190,1175
20021016,0,4188,4188,4188,4188,700
20021020,0,4100,4190,4100,4190,162235
20021023,0,4180,4180,4100,4100,3225
20021026,0,4080,4089,4050,4052,9762
20021027,0,4056,4085,4051,4081,6874
20021028,0,4103,4190,4100,4190,8876
20021029,0,4193,4220,4190,4206,21043
20021030,0,4204,4204,4204,4204,944
20021102,0,4198,4198,4189,4189,6685
20021103,0,4140,4189,4140,4189,9736
20021104,0,4390,4390,4190,4390,20775
20021105,0,4389,4398,4387,4398,15803
20021106,0,4450,4451,4450,4450,2954
20021109,0,4450,4450,4446,4450,3546
20021111,0,4405,4405,4401,4401,3761
20021112,0,4394,4394,4393,4393,11308
20021113,0,4390,4390,4390,4390,361
20021116,0,4378,4392,4378,4390,9780
20021117,0,4392,4400,4391,4400,19250
20021118,0,4399,4400,4399,4399,6510
20021119,0,4400,4408,4400,4408,7124
20021120,0,4565,4565,4565,4565,3099
20021123,0,4650,4793,4650,4793,5273
20021124,0,4793,4793,4753,4753,3110
20021125,0,4753,4754,4700,4754,24203
20021126,0,4750,4755,4750,4754,5326
20021130,0,4754,4754,4751,4751,10981
20021201,0,4749,4749,4734,4734,5461
20021202,0,4716,4716,4716,4716,554
20021203,0,4698,4700,4665,4666,4370
20021204,0,4657,4658,4460,4460,12369
20021207,0,4400,4400,4350,4400,34775
20021208,0,4400,4400,4400,4400,13300
20021209,0,4400,4402,4400,4401,3039
20021210,0,4410,4410,4401,4410,9320
20021211,0,4411,4412,4400,4400,17527
20021215,0,4399,4399,4398,4398,1923
20021216,0,4351,4351,4350,4350,1860
20021217,0,4320,4400,4318,4400,6808
20021218,0,4400,4400,4400,4400,28
20021221,0,4404,4404,4400,4403,10265
20021222,0,4400,4403,4400,4400,6311
20021223,0,4400,4403,4397,4397,9045
20021224,0,4397,4398,4370,4375,7668
20021225,0,4369,4370,4368,4368,9655
20021228,0,4366,4404,4365,4404,1415964
20021229,0,4404,4410,4404,4410,8043
20021231,0,4409,4410,4409,4410,5735
20030101,0,4407,4410,4407,4410,8732
20030104,0,4410,4410,4410,4410,934
20030105,0,4411,4450,4410,4450,5135
20030106,0,4452,4666,4230,4666,20152
20030107,0,4666,4700,4666,4700,1166
20030108,0,4667,4667,4666,4666,5320
20030112,0,4500,4899,4500,4899,23388
20030113,0,4867,4879,4800,4800,17489
20030114,0,4800,4800,4750,4799,4871
20030115,0,4773,4774,4773,4774,500
20030118,0,4765,4765,4649,4649,5595
20030120,0,4618,4618,4500,4500,5587
20030121,0,4497,4550,4497,4550,21563
20030122,0,4600,4600,4600,4600,1040
20030125,0,4600,4600,4600,4600,2839
20030126,0,4600,4600,4600,4600,1200
20030127,0,4599,4599,4505,4505,5202
20030128,0,4505,4520,4500,4520,1605
20030129,0,4500,4520,4500,4520,1695
20030202,0,4493,4493,4493,4493,110
20030205,0,4269,4269,4269,4269,6842
20030208,0,4271,4271,4269,4269,1427
20030209,0,4269,4269,4269,4269,1413
20030210,0,4270,4270,4269,4269,5419
20030215,0,4269,4269,4269,4269,510
20030216,0,4271,4271,4270,4271,2659
20030217,0,4271,4271,4271,4271,1711
20030218,0,4271,4271,4271,4271,833
20030219,0,4272,4273,4272,4272,4222
20030222,0,4200,4200,4199,4200,9174
20030223,0,4201,4270,4200,4200,13219
20030224,0,4198,4198,4198,4198,160
20030225,0,4197,4198,4197,4198,2700
20030226,0,4197,4200,4197,4197,1567
20030301,0,4197,4226,4196,4207,41003
20030302,0,4218,4280,4218,4280,942
20030303,0,4334,4450,4283,4450,27079
20030304,0,4450,4480,4450,4480,4609
20030305,0,4480,4480,4480,4480,8262
20030308,0,4470,4470,4400,4400,9006
20030309,0,4300,4300,4200,4200,14761
20030310,0,4200,4349,4199,4349,9102
20030311,0,4363,4479,4363,4479,13914
20030312,0,4479,4479,4479,4479,172406
20030315,0,4481,4484,4481,4484,138
20030316,0,4488,4488,4488,4488,7868
20030428,0,4903,5300,4798,5300,16029
20030429,0,5298,5350,5298,5350,20584
20030430,0,5400,5400,5300,5350,67366
20030503,0,5349,5350,5302,5350,10331
20030504,0,5350,5350,5350,5350,9374
20030505,0,5400,5565,5351,5502,27220
20030506,0,5777,5777,5502,5777,18559
20030507,0,5880,5881,5800,5881,32052
20030510,0,5882,5884,5882,5884,14286
20030511,0,5888,5891,5879,5879,17471
20030512,0,5888,5890,5888,5888,29060
20030513,0,5888,5888,5800,5800,27441
20030514,0,5700,5700,5650,5650,6756
20030517,0,5600,5600,5600,5600,6400
20030520,0,5557,5557,5556,5556,678
20030524,0,5500,5500,5279,5279,13801
20030525,0,5280,5350,5279,5312,114566
20030526,0,5350,5500,5350,5500,3920
