Date,Time,Open,High,Low,Close,Volume
20070311,0,1900,1938,1900,1900,468077431
20070312,0,1938,1938,1938,1938,100041000
20070313,0,1976,1976,1915,1973,126270939
20070314,0,1934,1966,1934,1934,26705128
20070317,0,1896,1927,1896,1898,14877283
20070319,0,1872,1909,1861,1885,12428574
20070325,0,1881,1922,1880,1894,4151051
20070326,0,1927,1931,1898,1900,2604320
20070327,0,1909,1935,1902,1904,1737471
20070328,0,1925,1930,1906,1906,1466522
20070331,0,1904,1920,1873,1905,818231
20070403,0,1900,1900,1867,1900,2705358
20070404,0,1887,1896,1862,1896,1649990
20070407,0,1886,1888,1859,1881,5050280
20070408,0,1854,1900,1849,1879,3002511
20070409,0,1889,1913,1874,1879,692951
20070410,0,1907,1917,1862,1883,1315311
20070411,0,1876,1880,1851,1880,1767488
20070414,0,1864,1875,1843,1875,1975101
20070415,0,1848,1867,1838,1867,2879638
20070416,0,1838,1862,1831,1862,1890750
20070417,0,1848,1880,1826,1861,1368173
20070418,0,1876,1898,1853,1867,3024167
20070421,0,1903,1904,1883,1883,5473667
20070422,0,1920,1920,1888,1888,1773788
20070423,0,1925,1925,1880,1889,826566
20070424,0,1900,1912,950,1890,3831874711
20070425,0,1900,1903,1854,1890,1796465
20070428,0,1890,1890,1853,1884,2176594
20070429,0,1847,1873,1847,1873,3633565
20070430,0,1857,1910,1853,1884,5581299
20070501,0,1895,1900,1864,1884,1387680
20070502,0,1889,1890,1848,1881,1524106
20070505,0,1854,1874,1844,1874,2523017
20070506,0,1837,1863,1837,1863,3807216
20070507,0,1835,1855,1826,1855,2824699
20070508,0,1820,1851,1818,1851,3256904
20070509,0,1828,1850,1816,1847,3031843
20070512,0,1837,1870,1823,1848,1340525
20070513,0,1860,1884,1846,1857,3617528
20070514,0,1891,1894,1857,1858,1521600
20070515,0,1870,1870,1854,1858,722100
20070516,0,1860,1870,1857,1859,1270938
20070519,0,1857,1858,1830,1857,1165541
20070520,0,1835,1855,1830,1855,1125563
20070521,0,1840,1854,1830,1854,1015994
20070522,0,1848,1853,1831,1853,862753
20070523,0,1848,1852,1818,1852,555716
20070526,0,1835,1850,1816,1850,995859
