Date,Time,Open,High,Low,Close,Volume
20010325,0,7970,7970,7969,7969,3138
20010326,0,7970,8000,7970,8000,3278
20010327,0,8000,8000,8000,8000,1418
20010328,0,8000,8000,8000,8000,2500
20010409,0,8002,8002,8002,8002,110
20010410,0,8002,8004,8002,8002,3832
20010411,0,8004,8005,8003,8005,1693
20010415,0,8025,8025,8007,8019,1956
20010416,0,8019,8019,8019,8019,2984
20010417,0,8020,8022,8019,8022,4557
20010418,0,8025,8031,8023,8030,17418
20010421,0,8032,8032,8030,8030,400
20010422,0,8030,8050,8030,8050,15670
20010423,0,8051,8051,8050,8051,4606
20010424,0,8053,8054,8051,8052,4123
20010425,0,8052,8060,8052,8060,2980
20010428,0,8060,8060,8060,8060,1578
20010429,0,8061,8062,8061,8061,23892
20010430,0,8061,8061,8061,8061,1373
20010501,0,8065,8066,8061,8061,10027
20010502,0,8100,8249,8061,8249,3478
20010505,0,8248,8300,8248,8300,6879
20010506,0,8500,8500,8300,8300,9297
20010507,0,8302,8351,8301,8351,1761
20010508,0,8351,8353,8351,8351,4649
20010509,0,8351,8352,8351,8352,2263
20010512,0,8352,8365,8352,8365,3266
20010513,0,8400,8500,8381,8500,7386
20010515,0,8503,8550,8503,8550,2680
20010516,0,8600,8603,8550,8550,8660
20010519,0,8551,8570,8550,8552,4153
20010520,0,8601,8601,8562,8601,707
20010521,0,8605,8650,8605,8650,2150
20010523,0,8661,8675,8661,8675,2989
20010526,0,8801,8802,8800,8802,2814
20010527,0,8805,8807,8805,8807,1771
20010528,0,8812,9008,8812,9008,5917
20010529,0,9067,9180,9067,9180,4185
20010530,0,9188,9189,9008,9008,17767
20010602,0,8998,8998,4999,8998,26870
20010603,0,8992,8994,8970,8970,459
20010609,0,8946,8948,8895,8895,1098
20010611,0,8750,8850,8700,8700,5367
20010612,0,8650,8703,8600,8703,11876
20010613,0,8712,8750,8711,8724,5737
20010616,0,8750,8750,8720,8724,3628
20010617,0,8723,8723,8500,8500,7739
20010618,0,8499,8499,8400,8450,9393
20010619,0,8395,8400,8300,8300,8299
20010620,0,8500,8715,8430,8715,22359
20010623,0,8716,8716,8715,8715,376
20010625,0,8688,8688,8678,8678,4502
20010626,0,8648,8648,8490,8500,2538
20010627,0,8301,8500,8300,8500,15609
20010630,0,8500,8500,8450,8460,23923
20010701,0,8499,8500,8450,8500,11767
20010702,0,8501,8501,8500,8500,3260
20010812,0,7400,7400,7400,7400,500
20010818,0,7770,7770,7770,7770,3055
20010819,0,8158,8158,8140,8158,8866
20010820,0,8158,8171,8158,8171,3430
20010821,0,8250,8253,8173,8173,5236
20010822,0,8150,8170,8001,8100,9435
20010825,0,8100,8100,8100,8100,1331
20010826,0,8080,8080,8001,8001,2036
20010828,0,7968,7968,7959,7959,325
20010829,0,7897,7897,7896,7897,1250
20010901,0,7879,7879,7770,7770,14318
20010902,0,7769,7770,7768,7770,32057
20010903,0,7728,7728,7728,7728,3713
20010904,0,7696,7726,7600,7600,2845
20010905,0,7587,7588,7587,7588,81
20010908,0,7559,7559,7550,7550,1044
20010909,0,7529,7529,7523,7523,4314
20010910,0,7500,7525,7497,7525,12795
20010911,0,7519,7520,7518,7520,2015
20010912,0,7519,7520,7500,7520,2930
20010917,0,7400,7450,7400,7400,2393
20010918,0,7398,7398,7398,7398,901
