Date,Open,High,Low,Close,Volume
20210525,1560,1561,1549,1551,52132943
20210526,1559,1585,1491,1530,393221757
20210529,1540,1612,1540,1612,414603637
20210530,1671,1686,1590,1602,528877466
20210531,1596,1650,1560,1560,445352588
20210601,1540,1600,1502,1517,449246318
20210602,1519,1595,1489,1580,438657413
20210607,1598,1643,1572,1643,468560235
20210608,1676,1709,1656,1690,1027199292
20210609,1670,1779,1656,1712,704002021
20210612,1728,1735,1630,1630,426623865
20210613,1610,1714,1591,1684,436656233
20210615,1769,1790,1681,1685,820652409
20210616,1670,1750,1661,1700,400633359
20210619,1685,1733,1642,1683,372775280
20210620,1707,1717,1607,1607,396996800
20210621,1580,1705,1562,1705,621687270
20210622,1765,1765,1748,1765,557967536
20210623,1820,1853,1780,1812,1495173375
20210626,1810,1899,1780,1813,763725029
20210627,1830,1941,1810,1941,1324978881
20210628,1941,1975,1902,1941,690664261
20210629,1931,2039,1920,1982,841595607
20210630,1990,2059,1952,1971,600402356
20210703,1979,1980,1891,1891,505393163
20210704,1850,1960,1825,1885,499646908
20210705,1894,1940,1853,1915,360398166
20210706,1920,1980,1890,1905,469846280
20210707,1920,1944,1860,1880,392963587
20210710,1870,1909,1821,1827,289381297
20210711,1830,1929,1825,1897,416098887
20210712,1910,1934,1856,1862,374566999
20210713,1851,1900,1822,1833,316964383
20210714,1835,1922,1827,1898,422592009
20210717,1908,1928,1852,1858,406830280
20210718,1858,1876,1802,1820,398910518
20210719,1815,1860,1790,1807,426058670
20210726,1822,1838,1790,1794,72923004
20210727,1774,1810,1719,1719,503251215
20210728,1690,1748,1647,1668,416605397
20210731,1680,1750,1674,1704,380363600
20210801,1722,1779,1681,1718,331574923
20210802,1769,1822,1760,1816,899251300
20210803,1822,1822,1724,1750,417365178
20210804,1769,1810,1720,1736,391381009
20210807,1759,1831,1755,1796,691582369
20210808,1805,1849,1777,1795,325316773
20210809,1790,1890,1782,1870,572312332
20210810,1885,1912,1844,1857,430150088
20210811,1880,1925,1860,1893,632644406
20210814,1950,1984,1950,1984,1135043230
20210815,2008,2075,1990,2040,847162933
20210822,2100,2135,2079,2134,1352860240
20210823,2149,2180,2080,2098,844903432
20210824,2100,2190,2090,2155,672745313
20210825,2180,2220,2089,2202,718580002
20210828,2220,2276,2220,2276,947615628
20210829,2290,2310,2160,2160,988781360
20210830,2129,2166,2129,2129,626374877
20210831,2025,2119,2025,2025,881682963
20210901,2020,2093,1979,2080,507442793
20210904,2088,2110,2027,2040,571471644
20210905,2030,2130,1981,2088,611092296
20210906,2100,2135,2001,2013,485602085
20210907,2003,2037,1958,1958,426813554
20210908,2000,2034,1930,1995,360568515
20210911,2002,2035,1903,1910,318022720
20210912,1929,1929,1857,1857,458830421
20210913,1890,1950,1804,1913,475724283
20210914,1921,1985,1903,1980,400486173
20210915,1999,2006,1920,1950,260361913
20210918,1915,1947,1862,1862,406226479
20210919,1850,1918,1776,1811,458554296
20210920,1822,1849,1783,1799,303590052
20210921,1797,1800,1724,1727,352043629
20210922,1720,1749,1648,1700,426147010
20210925,1739,1771,1710,1771,354346880
20210926,1790,1791,1700,1714,228851338
20210928,1700,1747,1667,1712,252191684
20210929,1706,1745,1690,1712,246945448
20211002,1740,1775,1702,1719,305684944
20211003,1725,1819,1702,1819,506604335
20211004,1834,1848,1806,1809,331786839
20211006,1820,1860,1800,1806,293940159
20211009,1830,1830,1735,1737,396029676
20211010,1700,1750,1684,1736,176768142
20211011,1740,1760,1682,1684,161304273
20211012,1690,1690,1625,1625,358134304
20211013,1590,1659,1575,1630,238427745
20211016,1669,1676,1630,1670,204851342
20211017,1671,1678,1580,1585,219491733
20211018,1580,1644,1553,1636,293967439
20211019,1650,1692,1623,1683,410654675
20211020,1680,1700,1616,1620,215185921
20211023,1630,1630,1565,1565,340094572
20211025,1558,1600,1507,1537,268614120
20211026,1537,1592,1534,1539,182500946
20211027,1555,1586,1534,1555,159747877
20211030,1580,1580,1481,1513,410975238
20211031,1499,1500,1427,1427,416241478
20211101,1471,1503,1470,1503,151013446
20211102,1535,1575,1515,1575,280573282
20211103,1614,1640,1587,1640,329549703
20211106,1711,1711,1711,1711,49630133
20211107,1769,1769,1690,1748,1351516780
20211108,1725,1839,1703,1774,1515492445
20211109,1768,1834,1716,1730,961453485
20211208,1825,1825,1825,1825,97737412
20211211,1800,1847,1734,1734,628275961
20211212,1704,1704,1682,1682,350760386
20211213,1650,1680,1599,1599,226512499
20211214,1546,1590,1544,1544,334682193
20211215,1529,1589,1478,1530,358476424
20211218,1588,1604,1575,1604,434443625
20211219,1625,1628,1523,1523,458083720
20211220,1550,1610,1524,1570,247397743
