Date,Time,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,"EMA20,ffd=True","EMA50,ffd=True","EMA100,ffd=True","EMA200,ffd=True","ADX14,ffd=True","BBP13,method=EMA,ffd=True","RSI14,method=RMA,ffd=True",Stoch5-3-3_line,Stoch5-3-3_signal,Stoch14-3-3_line,Stoch14-3-3_signal,Stoch21-5-5_line,Stoch21-5-5_signal,"StochRSI13-8-5-5_line,rsi-method=[rma,True]","StochRSI13-8-5-5_signal,rsi-method=[rma,True]","StochRSI21-13-8-8_line,rsi-method=[sma,True]","StochRSI21-13-8-8_signal,rsi-method=[sma,True]","CCI14,method=SMA","CCI20,method=SMA","CCI30,method=SMA","MACD6-13-5_line,method=[EMA,True],SMA","MACD6-13-5_signal,method=[EMA,True],SMA","MACD12-26-9_line,method=[EMA,True],SMA","MACD12-26-9_signal,method=[EMA,True],SMA","MACD24-52-18_line,method=[EMA,True],SMA","MACD24-52-18_signal,method=[EMA,True],SMA"
20210714,0,21000,21000,21000,21000,130647500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210726,0,25200,26460,25200,26460,43441127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210727,0,26590,26590,26590,26590,2540662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210728,0,27910,27910,27910,27910,3054493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210731,0,29300,29300,29300,29300,2808446,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210801,0,30760,30760,30760,30760,3347888,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210802,0,32290,32290,32290,32290,4891956,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210803,0,33900,33900,33900,33900,3282963,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210804,0,35590,35590,35590,35590,5063403,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210807,0,37360,37360,37360,37360,39914124,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210808,0,39220,39220,39220,39220,10016511,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210810,0,41180,41180,41180,41180,6227222,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,
20210811,0,43230,43230,43230,43230,4916061,,,,,,,,,,21107.692307692305,,100.0,100.0,,,,,,,,,,,,5921.401541563206,,,,,
20210814,0,45390,45390,45390,45390,5192343,,,,,,,,,,21795.164835164833,100,100.0,100.0,100.0,100.0,,,,,,,134.74831259656824,,,6045.836265951737,,,,,
20210815,0,47650,47650,47650,47650,5928400,,,,,,,,,,22555.855572998422,100,100.0,100.0,100.0,100.0,,,,,,,137.38178598736366,,,6198.109106763011,,,,,
20210822,0,50030,50030,45270,50030,93337129,,,,,,,,,,18653.5904911415,100,100.0,100.0,100.0,100.0,,,,,,,123.36945304437567,,,6378.35333147346,,,,,
20210823,0,50990,52530,50500,52530,20978626,,,,,,,,,,22324.50613526415,100,100.0,100.0,100.0,100.0,,,,,,,134.93341247171423,,,6585.508843276868,6225.841817805656,,,,
20210824,0,54870,54880,53240,54590,41658412,,,,,,,,,,23346.719544512132,100,98.99410336455082,99.66470112151694,99.62210059942663,99.87403353314221,,,,,,,134.60401154298344,,,6737.828183430916,6389.1271461791985,,,,
20210825,0,54980,56700,52450,54760,22005328,,,,,,,,,,20841.473895296105,100,93.33647723448375,97.44352686634487,97.12916819130533,98.91708959691066,,,,,,,118.54343306939485,,,6580.357241344369,6496.031341257725,,,,
20210828,0,55300,57710,55110,57690,18535925,39371.5,,,,39371.5,,,,,20644.120481682374,100,93.28288666642372,95.20448908848611,97.10294212259303,97.951403637775,,,,,,,120.41454604207779,129.46507636967686,,6633.931879195698,6583.195895744262,,,,
20210829,0,58000,59260,55000,56000,17828141,41121.5,,,,40955.16666666667,,,,,19252.103270013453,93.69223064124287,81.8839126778242,89.50109219291056,93.19587832653127,95.80932954680988,91.47935180345007,91.47935180345007,,,,,104.55304045318854,116.19187739463604,,6154.531376688523,6538.431504787275,,,,
20210830,0,55100,57600,54450,54450,14051214,42521.0,,,,42240.38888888889,,,,,15057.517088582958,88.19731718363492,63.99773068258535,79.72151000894442,88.91511688871537,93.07131244594656,88.67860719943496,90.07897950144252,,,,,82.06979542719603,96.57300153337398,,5388.386931207046,6299.00712237331,,,,
20210831,0,53010,56570,52260,54900,15292381,43936.5,,,,43446.06613756614,,,,,10007.871790213947,88.40984319360071,43.28941648874061,63.057019949716725,82.30511769106543,88.13870430210403,88.00387913897644,89.3872793806205,,,,,62.83094618055543,81.80912684062609,,4763.670457189517,5904.17557712503,,,,
20210901,0,55500,57150,54170,57150,5558081,45398.5,,,,44751.202695893175,,,,,10286.747248754808,89.43427992272474,45.646668065170275,50.97793841216541,83.08043351577773,84.76688936518617,89.32029372424827,89.37053296652743,,,,,71.93940708789034,86.24698953474352,,4508.184025864932,5489.740934029143,,,,
20210904,0,59450,59450,59450,59450,1913276,46906.0,,,,46151.08815342716,,,,,15314.354784646974,90.37119105639795,69.19047619047619,52.70885358146236,89.85412736171493,85.07989285618602,91.45623497939862,89.78767336910167,10.665613979950763,,,,106.33982449127224,103.45351950513495,,4496.327679100301,5062.220094010064,,,,
20210907,0,62420,62420,62420,62420,3521292,48489.0,,,,47700.508329291246,,,,,18218.018386840267,91.42821292083563,89.95238095238096,68.26317506934248,96.49035262807718,89.80830450185663,93.1603646187086,90.12387593215337,19.514920535012653,,,,139.58883994126288,118.58231016489955,,4729.830826832142,4777.279984038787,10512.936869996309,,,
20210908,0,63500,64990,62490,62730,20242244,50011.0,,,,49131.88848840636,,,,,18166.872903005933,91.53269612325947,94.08222047656454,84.4083592064739,96.17985125084516,94.17477708021242,94.60252910268274,91.30866031280293,28.608242221052137,,,,149.30521091811423,116.94256712904878,,4724.023332511548,4644.407264299688,10427.1245354056,,,
20210911,0,64680,66560,61320,62500,8354563,51441.0,,,,50405.04196570099,,,,91.41383902498926,16325.89105971936,90.64983389079474,83.15943328259091,89.0646782371788,89.82318928121936,94.1644643867139,94.78542282117742,92.66496904924313,35.42803474187886,,,,133.19978459881526,110.62423194557527,,4494.793302008664,4590.631833263517,10222.717440949571,,,
20210912,0,61110,63670,60440,61300,8507940,52726.5,,,,51442.65701658661,,,,90.46688622163866,10977.906622616589,85.98967133174195,58.49933014147512,78.58032796687685,81.58771096589135,89.19691716598528,92.73467967776395,93.34784623994626,31.697937320359348,25.18294975965075,,,87.65644997888059,90.66762050487189,,3999.5588628432815,4488.906800659187,9850.344732290861,,,
20210913,0,59830,64100,59810,64100,15430277,54063.5,,,,52648.11825310216,,,,89.23643048843964,8625.348533671364,87.59247615566025,52.268961516762424,64.64257498027615,80.30200666398765,83.90430230369945,91.04974817091463,93.26654887824945,29.56596224223241,28.96301941210708,,,86.72586476609592,95.9412028244193,95.84736122441949,3933.106803646391,4376.262625568405,9669.706915167473,,,
20210914,0,64910,65500,62510,63450,8411227,55275.0,,,,53676.868895663865,,,,88.21226664482053,11066.013028861169,85.15695203721711,47.83372401937803,52.867338559205194,79.40925138419622,80.43298967135841,88.77469330624749,92.38941461575726,20.760180824924742,29.212071470089494,,,93.4639170517506,104.11542826523453,97.87046188049214,3639.0297550096657,4158.10241120391,9366.133617818181,,,
20210915,0,63690,63690,61000,61210,6886582,56276.5,,,,54394.30995321969,,,,86.42271452913339,6963.725453309569,77.19143300748215,46.074074074074076,48.72558653673818,75.17386722866175,78.29504175894854,85.9410382574841,90.65711644671752,11.666859138885258,25.823794853656125,,,49.78816654492336,76.0259417082328,82.56272591013192,2990.4507556398457,3811.3878958295695,8842.865266700443,,,
20210918,0,60750,61800,58800,58800,12977643,57055.0,,,,54813.89948148448,,,,83.65055181709194,2891.7646742653305,69.64349638639708,24.888888888888886,39.59889566078033,62.1911421911422,72.25808693466672,81.7748810241045,88.05500808730292,4.1867021613550985,19.575528337551372,,,-2.3336902506657236,40.490029159083306,65.40984788407472,2127.016643550567,3337.83256413795,8139.873079736972,,,
20210919,0,57550,60250,56100,57700,11162129,57670.5,,,,55088.76619753357,,,,79.89711230213288,-1028.4874220583006,66.44966304428428,12.587339112161807,27.850100691708253,48.78787878787879,62.050962735894245,76.84856026004444,84.87778420375903,4.1867021613550985,14.073281305750521,,,-46.76903933712287,5.72141372141372,50.52940107943015,1354.4236506979214,2808.805521708878,7408.584351150348,9382.254089912862,,
20210920,0,58840,60020,57360,59980,9049639,58287.0,,,,55554.59798824466,,,,76.41177560967091,-367.2749331928353,69.56517445336013,19.43262411347518,18.969617371508622,45.92074592074592,52.29992229992231,72.3521859895335,81.1382717674828,4.236925153493922,9.007473888002824,,,-26.150281363786625,16.43238838481192,55.30507765552681,1151.8392203514886,2252.5520050498976,6933.089371760259,8984.493256775524,,
