Date,Time,Open,High,Low,Close,Volume
20020625,0,1861,1900,1860,1879,93825
20020626,0,1883,1900,1882,1885,38370
20020629,0,1886,1903,1886,1902,68947
20020630,0,1903,1903,1902,1902,40959
20020701,0,1901,1920,1901,1920,46994
20020702,0,1918,1918,1892,1900,32884
20020703,0,1910,1910,1902,1906,58744
20020706,0,1907,1914,1906,1914,53588
20020707,0,1914,1922,1914,1922,33976
20020708,0,1920,1922,1900,1900,159523
20020709,0,1897,1920,1897,1917,264291
20020710,0,1901,1919,1900,1919,43440
20020713,0,1924,1930,1919,1930,27688
20020714,0,1931,1931,1930,1931,123142
20020715,0,1932,1950,1932,1935,219483
20020716,0,1937,1950,1935,1950,237104
20020717,0,1950,1951,1910,1910,74406
20020720,0,1911,1912,1910,1910,126359
20020721,0,1913,1913,1901,1901,241624
20020722,0,1895,1900,1850,1880,48315
20020723,0,1880,1894,1880,1881,126020
20020724,0,1880,1890,1880,1880,77255
20020727,0,1882,1883,1881,1882,48928
20020728,0,1881,1882,1881,1881,20000
20020729,0,1865,1877,1865,1875,55636
20020730,0,1875,1875,1810,1813,26190
20020731,0,1812,1812,1790,1799,26932
20020803,0,1797,1799,1789,1799,73767
20020804,0,1778,1799,1760,1782,156876
20020805,0,1782,1783,1782,1783,49385
20020806,0,1783,1797,1783,1795,82459
20020807,0,1782,1799,1780,1784,74765
20020810,0,1783,1784,1750,1784,31712
20020811,0,1751,1780,1750,1751,141200
20020813,0,1751,1754,1746,1754,861117
20020814,0,1770,1784,1757,1784,237180
20020817,0,1790,1799,1790,1799,62004
20020818,0,1799,1807,1780,1807,24779
20020819,0,1820,1826,1809,1826,50286
20020820,0,1846,1846,1827,1840,373130
20020821,0,1850,1860,1840,1853,21822
20020824,0,1849,1861,1841,1861,3918506
20020825,0,1859,1905,1859,1905,84693
20020826,0,1910,1923,1910,1916,406308
20020827,0,1916,1917,1910,1915,62381
20020828,0,1911,1920,1911,1915,46160
20020831,0,1920,1922,1910,1922,18141
20020901,0,1939,1939,1922,1922,97586
20020902,0,1909,1909,1850,1850,1546744
20020903,0,1840,1840,1798,1799,180303
20020904,0,1799,1799,1789,1789,66665
20020907,0,1770,1780,1720,1720,48789
20020908,0,1710,1710,1640,1710,127023
20020909,0,1710,1795,1710,1795,75534
20020910,0,1810,1880,1799,1880,636762
20020925,0,1800,1800,1800,1800,10150
20020928,0,1710,1710,1710,1710,150000
20020929,0,1625,1625,1625,1625,135823
20020930,0,1604,1604,1545,1546,58432
20021001,0,1544,1546,1519,1519,31286
20021002,0,1505,1518,1500,1518,106659
20021006,0,1517,1517,1500,1502,71472
20021007,0,1502,1502,1499,1500,35077
20021008,0,1480,1500,1470,1470,63680
20021009,0,1470,1470,1459,1460,123827
20021012,0,1460,1460,1450,1450,26758
20021013,0,1450,1450,1450,1450,37505
20021014,0,1456,1462,1450,1461,55764
20021015,0,1484,1500,1461,1492,58215
20021016,0,1537,1537,1500,1536,20948
20021019,0,1560,1565,1542,1565,3130
20021020,0,1575,1578,1564,1569,81907
20021021,0,1577,1577,1570,1575,141156
20021023,0,1593,1593,1577,1593,22599
20021026,0,1601,1630,1593,1629,86215
20021027,0,1629,1629,1600,1600,98420
20021028,0,1601,1640,1596,1631,129567
20021029,0,1630,1630,1599,1600,37943
20021030,0,1589,1596,1587,1589,33675
